ID,Sex_M1_F0,Age,M2_F1_Not0,Interpupil_distance,Lower_face_height,Eye_height,Jaw_width,Face_width,Temporalis_height,Jaw_height,Nose_length,Masculinity_score,Color,Luminance
50P,1,12,1,0.234,0.57,0.074,0.361,0.548,1,0.236,0.334,1.462,0.1138,167
7B2,1,7,1,0.253,0.64,0.093,0.36,0.707,1.014,0.266,0.374,1.483,0.0783,143.75
93R,1,11,1,0.25,0.626,0.089,0.353,0.627,1.026,0.277,0.349,1.505,0.1034,145
36V,1,9,1,0.279,0.627,0.08,0.404,0.663,1.002,0.278,0.35,1.664,0.1246,144.5
6B2,1,7,1,0.266,0.616,0.077,0.379,0.616,1,0.267,0.35,1.666,0.0648,142.75
96T,1,9,1,0.238,0.593,0.076,0.352,0.574,1.014,0.239,0.354,1.671,0.0897,181.25
1B1,1,9,1,0.246,0.585,0.074,0.403,0.597,1.009,0.245,0.341,1.713,0.0671,152.75
81O,1,12,1,0.262,0.61,0.075,0.368,0.608,1.018,0.269,0.341,1.727,0.1287,126.25
98K,1,13,1,0.274,0.632,0.08,0.401,0.589,1.011,0.288,0.344,1.773,0.1463,145.25
7B3,1,7,1,0.243,0.623,0.078,0.387,0.63,1.024,0.28,0.343,1.819,0.055,191
01K,1,14,2,0.244,0.653,0.08,0.387,0.592,1.012,0.277,0.377,2.039,0.1054,166
44H,1,16,2,0.241,0.631,0.078,0.366,0.578,1.012,0.235,0.396,2.054,0.0722,197.25
61R,1,11,2,0.26,0.672,0.077,0.398,0.616,1.01,0.316,0.356,2.055,0.0304,214
30Z,1,9,2,0.23,0.634,0.07,0.379,0.571,1.019,0.286,0.348,2.09,0.1448,145
88V,1,9,2,0.247,0.63,0.07,0.388,0.574,1.018,0.262,0.368,2.175,0.056,169.5
73Z,1,8,2,0.266,0.641,0.068,0.4,0.645,1.01,0.268,0.372,2.194,0.0739,152.25
76Z,1,8,2,0.268,0.664,0.072,0.38,0.666,1.037,0.308,0.356,2.212,0.061,164
74Z,1,8,2,0.276,0.666,0.068,0.446,0.679,1.013,0.331,0.335,2.25,0.1676,138.75
02R,1,11,2,0.276,0.663,0.071,0.403,0.621,1.022,0.293,0.37,2.306,0.1053,182.75
83L,1,13,2,0.237,0.631,0.06,0.383,0.561,1.023,0.28,0.351,2.361,0.1001,187.25
6A1,1,8,0,0.271,0.613,0.082,0.414,0.668,1.014,0.264,0.348,1.666,#N/A,#N/A
33T,1,10,0,0.285,0.641,0.093,0.404,0.69,1.021,0.296,0.345,1.5,#N/A,#N/A
8B5,1,7,0,0.254,0.547,0.073,0.37,0.563,1.025,0.216,0.331,1.526,#N/A,#N/A
3B9,1,8,0,0.287,0.646,0.082,0.402,0.686,1.017,0.331,0.314,1.579,#N/A,#N/A
37N,1,13,0,0.24,0.615,0.084,0.38,0.549,1.008,0.259,0.356,1.665,#N/A,#N/A
1A0,1,9,0,0.27,0.63,0.083,0.385,0.62,1.011,0.274,0.357,1.708,#N/A,#N/A
13N,1,13,0,0.223,0.609,0.076,0.359,0.547,1.017,0.266,0.343,1.763,#N/A,#N/A
8A7,1,8,0,0.268,0.619,0.075,0.408,0.672,1.009,0.276,0.343,1.767,#N/A,#N/A
60T,1,10,0,0.233,0.617,0.077,0.366,0.547,1.011,0.266,0.351,1.779,#N/A,#N/A
49L,1,13,0,0.267,0.609,0.071,0.419,0.683,1.012,0.28,0.329,1.79,#N/A,#N/A
43N,1,13,0,0.284,0.628,0.079,0.418,0.634,1.003,0.275,0.353,1.791,#N/A,#N/A
22R,1,11,0,0.263,0.627,0.08,0.371,0.641,1.012,0.247,0.379,1.814,#N/A,#N/A
42T,1,10,0,0.262,0.635,0.077,0.379,0.585,1.013,0.288,0.347,1.831,#N/A,#N/A
96Z,1,8,0,0.255,0.636,0.079,0.393,0.619,1.022,0.297,0.339,1.833,#N/A,#N/A
30V,1,9,0,0.257,0.628,0.077,0.397,0.501,1.009,0.296,0.332,1.838,#N/A,#N/A
3A6,1,9,0,0.271,0.651,0.083,0.372,0.668,1.015,0.275,0.376,1.84,#N/A,#N/A
27N,1,13,0,0.248,0.59,0.069,0.386,0.585,1.005,0.235,0.354,1.848,#N/A,#N/A
31S,1,11,0,0.26,0.644,0.079,0.402,0.612,1.009,0.298,0.347,1.849,#N/A,#N/A
03N,1,13,0,0.271,0.628,0.072,0.408,0.678,1.016,0.298,0.331,1.853,#N/A,#N/A
43V,1,9,0,0.254,0.648,0.084,0.397,0.619,1.019,0.289,0.359,1.856,#N/A,#N/A
29V,1,9,0,0.283,0.634,0.075,0.415,0.688,1.018,0.298,0.336,1.864,#N/A,#N/A
43P,1,11,0,0.224,0.645,0.081,0.367,0.587,1,0.267,0.378,1.875,#N/A,#N/A
48L,1,13,0,0.254,0.617,0.077,0.389,0.558,1.007,0.253,0.364,1.89,#N/A,#N/A
10R,1,11,0,0.265,0.635,0.079,0.373,0.617,1.019,0.265,0.369,1.904,#N/A,#N/A
17L,1,14,0,0.266,0.647,0.081,0.404,0.584,1.012,0.292,0.354,1.905,#N/A,#N/A
98Z,1,8,0,0.235,0.618,0.07,0.392,0.613,1.012,0.278,0.34,1.915,#N/A,#N/A
99L,1,13,0,0.251,0.621,0.069,0.37,0.639,1.015,0.271,0.35,1.924,#N/A,#N/A
5B7,1,7,0,0.269,0.631,0.068,0.397,0.643,1,0.281,0.35,1.952,#N/A,#N/A
04Z,1,9,0,0.267,0.661,0.082,0.403,0.647,1.01,0.291,0.37,1.957,#N/A,#N/A
22O,1,13,0,0.263,0.651,0.079,0.39,0.62,1.008,0.276,0.375,1.975,#N/A,#N/A
35V,1,9,0,0.239,0.621,0.073,0.39,0.579,1.024,0.278,0.343,1.979,#N/A,#N/A
67Z,1,8,0,0.267,0.635,0.072,0.414,0.652,1.012,0.291,0.344,1.986,#N/A,#N/A
11Z,1,9,0,0.272,0.64,0.07,0.395,0.634,1.006,0.292,0.348,1.989,#N/A,#N/A
39L,1,13,0,0.263,0.668,0.079,0.404,0.582,1.015,0.327,0.341,1.998,#N/A,#N/A
73V,1,9,0,0.265,0.612,0.073,0.405,0.601,1.018,0.253,0.359,2.001,#N/A,#N/A
32Z,1,9,0,0.267,0.677,0.077,0.373,0.671,1.022,0.321,0.356,2.017,#N/A,#N/A
25R,1,11,0,0.248,0.657,0.077,0.373,0.643,1,0.268,0.388,2.027,#N/A,#N/A
44T,1,10,0,0.276,0.661,0.074,0.412,0.662,1,0.301,0.36,2.034,#N/A,#N/A
17K,1,14,0,0.25,0.655,0.077,0.371,0.55,1.016,0.295,0.36,2.043,#N/A,#N/A
94Z,1,8,0,0.273,0.659,0.084,0.423,0.633,1.016,0.284,0.375,2.045,#N/A,#N/A
46N,1,13,0,0.239,0.627,0.068,0.394,0.588,1.015,0.276,0.351,2.109,#N/A,#N/A
53N,1,13,0,0.256,0.611,0.063,0.389,0.629,1.021,0.264,0.347,2.121,#N/A,#N/A
19T,1,10,0,0.245,0.677,0.08,0.392,0.668,1.037,0.32,0.357,2.144,#N/A,#N/A
94O,1,12,0,0.234,0.613,0.075,0.38,0.486,1.025,0.235,0.378,2.155,#N/A,#N/A
5B2,1,7,0,0.299,0.663,0.079,0.414,0.669,1.031,0.293,0.37,2.16,#N/A,#N/A
72T,1,10,0,0.271,0.672,0.073,0.396,0.639,1.014,0.311,0.362,2.172,#N/A,#N/A
88T,1,9,0,0.256,0.655,0.075,0.412,0.627,1.042,0.318,0.337,2.187,#N/A,#N/A
64S,1,10,0,0.249,0.626,0.073,0.376,0.549,1.045,0.265,0.361,2.206,#N/A,#N/A
80T,1,10,0,0.288,0.648,0.082,0.447,0.671,1.057,0.294,0.354,2.222,#N/A,#N/A
48V,0,9,0,0.256,0.563,0.09,0.292,0.589,1,0.237,0.327,0.746,#N/A,#N/A
01R,0,11,0,0.258,0.598,0.1,0.338,0.591,1.005,0.274,0.323,0.826,#N/A,#N/A
3A2,0,8,0,0.263,0.641,0.102,0.379,0.61,1,0.336,0.305,0.943,#N/A,#N/A
60V,0,9,0,0.304,0.635,0.102,0.399,0.678,1,0.311,0.323,0.993,#N/A,#N/A
45Z,0,8,0,0.276,0.586,0.085,0.368,0.704,1,0.27,0.317,1.026,#N/A,#N/A
98V,0,9,0,0.244,0.566,0.085,0.357,0.612,1,0.246,0.32,1.034,#N/A,#N/A
95V,0,9,0,0.265,0.584,0.086,0.358,0.639,1,0.266,0.318,1.05,#N/A,#N/A
1B0,0,8,0,0.265,0.626,0.091,0.334,0.695,1,0.276,0.35,1.155,#N/A,#N/A
90V,0,9,0,0.263,0.613,0.08,0.341,0.597,1,0.312,0.301,1.197,#N/A,#N/A
4B2,0,7,0,0.254,0.577,0.085,0.361,0.641,1.009,0.24,0.337,1.205,#N/A,#N/A
0A2,0,8,0,0.254,0.604,0.088,0.355,0.57,1.002,0.279,0.325,1.206,#N/A,#N/A
31L,0,13,0,0.284,0.6,0.086,0.407,0.673,1,0.281,0.319,1.215,#N/A,#N/A
82V,0,9,0,0.249,0.561,0.083,0.323,0.571,1.021,0.225,0.335,1.221,#N/A,#N/A
85V,0,9,0,0.253,0.627,0.092,0.371,0.606,1,0.3,0.327,1.229,#N/A,#N/A
0B5,0,8,0,0.261,0.585,0.087,0.373,0.629,1.017,0.261,0.324,1.232,#N/A,#N/A
77V,0,9,0,0.286,0.609,0.091,0.399,0.621,1,0.276,0.332,1.252,#N/A,#N/A
74T,0,10,0,0.252,0.617,0.09,0.349,0.564,1,0.274,0.343,1.273,#N/A,#N/A
51Z,0,8,0,0.275,0.594,0.083,0.382,0.644,1,0.266,0.328,1.28,#N/A,#N/A
40Z,0,9,0,0.243,0.592,0.086,0.343,0.555,1,0.243,0.349,1.292,#N/A,#N/A
90T,0,9,0,0.251,0.605,0.089,0.424,0.608,1,0.278,0.327,1.37,#N/A,#N/A
36O,0,12,0,0.254,0.615,0.091,0.346,0.599,1,0.24,0.375,1.385,#N/A,#N/A
82Z,0,8,0,0.269,0.601,0.084,0.401,0.629,1.013,0.278,0.324,1.414,#N/A,#N/A
7A8,0,8,0,0.232,0.565,0.072,0.366,0.621,1.004,0.239,0.326,1.423,#N/A,#N/A
14Z,0,9,0,0.279,0.617,0.089,0.416,0.692,1.009,0.273,0.344,1.441,#N/A,#N/A
48N,0,13,0,0.26,0.609,0.09,0.384,0.598,1.007,0.244,0.366,1.491,#N/A,#N/A
37P,0,12,0,0.25,0.608,0.077,0.331,0.62,1,0.25,0.358,1.507,#N/A,#N/A
6A4,0,8,0,0.246,0.584,0.08,0.373,0.646,1.017,0.237,0.348,1.525,#N/A,#N/A